"","Network","degree","betweenness","closeness","eigenvector","degree_pval","betweenness_pval","closeness_pval","eigenvector_pval"
"1","GLOBAL",-1.0305815865238,-0.177356584393378,-0.0680930610558335,-7.20181585772377,0,0.493,0,0
"2","GIL1",-0.0135382890099749,0.000962023012199609,-0.0255165665479211,-3.75767263979334,0.879,0.998,0.375,0.001
"3","GIL10",-0.11771606355739,-0.0761073959132217,-0.0541442369676339,-1.56625270422204,0.362,0.842,0.247,0.251
"4","GIL11",-0.151705001808955,0.0844447683216032,-0.0292890537776476,-3.53906018969638,0.27,0.784,0.115,0.048
"5","GIL12",-0.00263652910399892,0.0667367526713321,0.0304776442374415,-0.355032176455988,0.985,0.893,0.665,0.676
"6","GIL13",-0.25902749594787,-0.22416242333026,-0.150015987998101,-2.71679131154449,0.057,0.654,0.027,0.017
"7","GIL14",-0.131822014102386,-0.686247029395338,-0.0778068242438099,-0.1211206889528,0.261,0.021,0.099,0.893
"8","GIL15",-0.0813331574601097,0.547331428932032,0.0349704652333163,0.0527722768594074,0.491,0.095,0.328,0.97
"9","GIL16",-0.104440022165526,-0.543127330646662,-0.135958338188894,8.13541282105334,0.411,0.203,0.011,0.129
"10","GIL17",-0.262637617758227,0.397534695651295,-0.0035218457446593,-0.282454559708663,0.056,0.268,0.946,0.795
"11","GIL18",0.0284634389379783,-0.153692637579912,0.0261525897867969,0.398172511234324,0.824,0.65,0.469,0.519
"12","GIL19",0.21788851706347,-0.0139460129339835,0.0888799518158194,8.02827921838164,0.008,0.964,0.045,0
"13","GIL2",-0.00945891160243395,0.0973394567195731,-0.141038652386911,2.6702672018265,0.944,0.77,0.001,0.111
"14","GIL20",-0.0909563997767819,-0.610427724277832,-0.0821871508845007,0.991176067010834,0.217,0.046,0.033,0.078
"15","GIL21",-0.0223475371299844,0.0305489530800047,0.0709415697666511,1.8137876128101,0.888,0.954,0.253,0.237
"16","GIL22",0.00642393432266575,-0.911041586582842,-0.0965586801881635,0.882416512911142,0.951,0.005,0.065,0.563
"17","GIL23",-0.122555375820455,0.73609592358189,-0.182847560746369,0.147464995262214,0.685,0.229,0.15,0.808
"18","GIL24",-0.189582254918198,0.233050504173852,-0.0809267744607141,-3.47354710741643,0.031,0.549,0.067,0.001
"19","GIL25",-0.155599255570839,-0.734838639244871,-0.067618222764473,-4.05061100277806,0.049,0.025,0.002,0
"20","GIL26",0.0566698886634716,0.398479190298116,0.00864434203116282,-0.500623405243644,0.783,0.275,0.833,0.757
"21","GIL27",0.105743906901236,0.0962761718048206,0.164059086457467,3.67747683958119,0.497,0.816,0.07,0.053
"22","GIL28",0.136313811750717,-0.331823768574363,0.090311610133071,2.62308549211557,0.579,0.522,0.329,0.214
"23","GIL29",0.137039770182256,0.313848379070661,0.0876703741967191,2.33599717845345,0.071,0.259,0.005,0.315
"24","GIL3",-0.231304561055092,-0.961305894560943,-0.0530548071677348,-0.657892221838644,0.002,0.011,0.104,0.519
"25","GIL30",0.795996719141733,0.0974450488325083,0.168599950694004,10.5870196391404,0,0.678,0,0
"26","GIL31",0.0831968427213533,-0.210740567899387,0.0240825449201676,-0.98742686209474,0.289,0.504,0.561,0.274
"27","GIL32",-0.139897685463613,-0.0502698893179314,-0.0474533596241908,3.74120481670292,0.185,0.878,0.27,0.001
"28","GIL33",0.679317123625037,0.197464295434291,0.176801030788159,3.89712293186706,0,0.563,0,0
"29","GIL34",0.315949864084876,-0.17440115617129,0.112083171372815,6.61063388765815,0.002,0.557,0.009,0
"30","GIL35",-0.351319984742221,-0.246274987171799,-0.0897081233201007,-8.0798892523119,0.004,0.525,0.052,0
"31","GIL36",0.35308238272477,0.122851860477799,0.0591285843081586,-1.8205948501842,0.007,0.725,0.209,0.166
"32","GIL37",-0.155324341648379,0.233505703559846,-0.00695978081037119,-1.62666399804074,0.112,0.542,0.865,0.188
"33","GIL38",-0.162945855743101,-0.549316932424552,-0.00921146525213246,0.0131026170244795,0.087,0.136,0.722,0.994
"34","GIL39",-0.0331438955869023,-0.337159534308551,0.01596724449284,1.75684392802366,0.772,0.437,0.814,0.253
"35","GIL4",0.133583050454571,0.521652260079654,0.137336017973794,-0.790346442736322,0.047,0.057,0,0.346
"36","GIL40",-0.104772601982052,0.00237717127764636,-0.102351606360694,-0.46091827965801,0.318,0.995,0.091,0.724
"37","GIL41",-0.0581398819407211,-0.811850491096026,-0.270913143209324,-0.0213818821573319,0.488,0.028,0,0.988
"38","GIL42",0.149114951536895,-0.599088476471081,-0.123332379431954,6.20401703120259,0.23,0.085,0.005,0.001
"39","GIL44",0.24276955279166,0.74762150316579,0.214095679389365,0.180639613366836,0.273,0.037,0.01,0.806
"40","GIL45",-0.188502880257093,-1.38652026996158,-0.210104157357337,0.340171434096407,0.078,0,0,0.811
"41","GIL47",-0.302557600599599,-0.176812193651426,-0.182293884293083,-5.67560863912222,0.02,0.709,0.004,0.001
"42","GIL48",-0.198954010574919,-0.673409041011869,-0.0881120866199545,-2.30620301882898,0.028,0.051,0.017,0.057
"43","GIL49",-0.110584692588502,-0.870332782876381,-0.111208103286016,-0.433923192499151,0.389,0.021,0.001,0.685
"44","GIL5",0.42151540754131,1.15418466799847,0.171371370022749,4.94952636227439,0.002,0.001,0.005,0.009
"45","GIL50",-0.0993408482128824,0.176384641570437,-0.0132827355844771,-2.3176814748232,0.165,0.56,0.6,0.187
"46","GIL51",0.118669279798407,0.175070604572172,-0.048132551887651,2.19520320135153,0.11,0.554,0.212,0.033
"47","GIL53",0.0781515822239696,-0.677270770269121,-0.141420278859453,-6.86313173853321,0.417,0.048,0,0
"48","GIL54",-0.0720362755756206,-0.848047924638809,-0.127244071128894,-3.50317810713806,0.394,0.029,0.004,0.015
"49","GIL55",-0.242026639536769,-0.545684056026803,-0.155787523519745,-4.57347539462775,0.002,0.048,0,0
"50","GIL56",0.221559622182651,-0.0839775766609714,-0.116828778432906,-0.92810532927906,0.169,0.813,0.087,0.519
"51","GIL57",-0.115158655761992,-0.717657417129492,-0.0220753211539808,-0.789281416296348,0.292,0.061,0.534,0.338
"52","GIL58",-0.286295349720301,0.169584954832517,-0.0415944144351776,-1.3872976517808,0.031,0.719,0.414,0.382
"53","GIL59",0.163357813548879,0.37201562490239,0.0949563952204766,3.21872139729852,0.222,0.422,0.2,0.081
"54","GIL6",-0.40243091617635,-0.512838815092614,-0.0182451266665584,-7.28525998327886,0,0.11,0.517,0
"55","GIL60",0.197986840009919,0.405321948071187,-0.0692751393912516,1.80889192179043,0.115,0.264,0.093,0.108
"56","GIL61",-0.0163430203025612,-0.189501200564092,-0.00954688593207287,1.43382800007384,0.912,0.609,0.821,0.337
"57","GIL62",-0.112345547361978,-0.779871029674888,-0.119670122760271,-4.66885343073905,0.445,0.09,0.021,0.034
"58","GIL63",-0.105843453112051,-1.04121810813083,-0.119885683878698,0.542367912822524,0.234,0.003,0.02,0.635
"59","GIL64",-0.0243808249752762,-0.874531027463656,-0.034336914272254,-2.95358916348442,0.785,0.008,0.347,0.112
"60","GIL65",-1.48411083608704,NA,-0.926104963910937,-0.490675433071638,0,0,0,0.785
"61","GIL66",-0.1342983474623,0.00739383411884376,0.0170834220462144,-3.04022798347901,0.173,0.987,0.58,0.013
"62","GIL67",-0.231770809671819,-0.690031216582606,-0.147857501903788,-1.55733918853405,0.011,0.038,0,0.053
"63","GIL68",-0.531611095583374,-0.904209245353929,-0.183546685863838,0.248679994339911,0,0.055,0.004,0.807
"64","GIL69",-0.0973051505449505,-0.713339248446792,-0.0708740373148853,-1.77996729992621,0.366,0.009,0,0.111
"65","GIL7",-0.0160248777917479,0.221168438113822,-0.00996780403605335,3.10116651207701,0.815,0.488,0.795,0.369
"66","GIL71",0.120540330183527,-0.346456254716896,-0.0883475624161676,-2.6268645129507,0.254,0.314,0.069,0.004
"67","GIL72",0.248183427381118,-0.32463558723365,-0.0499401972765874,2.86041840372962,0.043,0.348,0.26,0.013
"68","GIL73",0.138509340829785,0.393867173584098,0.0231233055453579,-3.8189234263758,0.199,0.2,0.462,0
"69","GIL74",0.243531974404133,0.466601706694267,0.0981224454595999,2.91914213208038,0.032,0.208,0.099,0.011
"70","GIL75",0.14691290669955,-0.361946468548789,-0.055760963427284,2.86662200612194,0.136,0.257,0.063,0.01
"71","GIL76",0.0753276319849965,0.263135773653604,0.0985937836485249,3.76742981329963,0.652,0.516,0.023,0.049
"72","GIL77",-0.376073477515169,-0.511206944120172,-0.13792901135916,-0.10890242515422,0,0.228,0,0.931
"73","GIL78",-0.159573998447895,-0.496106900647151,-0.192161490933593,-1.77784931373564,0.049,0.061,0,0.087
"74","GIL79",0.118394709063331,-0.733810189781193,-0.0280176617981382,-0.291673259606522,0.123,0.017,0.112,0.843
"75","GIL8",-0.333719861095221,-0.422346291099284,-0.135411987532054,-0.480220832210982,0.006,0.358,0.012,0.818
"76","GIL80",-0.0137953534005575,0.765386801207024,0.00974896839988304,-3.28034879004767,0.884,0.007,0.794,0.003
"77","GIL81",0.0646576040452009,0.477839379065446,0.110447852174335,-0.261608752240611,0.726,0.314,0.244,0.759
"78","GIL82",-0.410584072534665,-0.531417849964665,-0.188473212481956,-4.83784362077071,0,0.183,0,0
"79","GIL83",-0.487460450237552,-0.331657887753187,-0.244250653425638,-6.2830461745355,0.012,0.583,0.021,0.012
"80","GIL84",-0.237165145997771,-0.316246339510208,0.00818448225785673,1.82687253168547,0.014,0.316,0.801,0.177
"81","GIL85",0.116844515480969,0.784833021420267,0.12516429761922,3.83933285829021,0.298,0.038,0.012,0
"82","GIL86",-0.127511918398123,-0.0641166445151775,-0.0334223973931049,-2.72795949287893,0.099,0.845,0.332,0.005
"83","GIL87",0.0794331450004669,0.648796529661081,0.0234811567569633,0.775988296181179,0.288,0.171,0.486,0.625
"84","GIL88",0.0796244835626656,-0.682582534979036,-0.00858512138571932,-2.38963468502482,0.354,0.036,0.838,0.136
"85","GIL89",0.087611423955368,0.717653131465988,0.0558771942050704,1.00237533449781,0.571,0.092,0.476,0.483
"86","GIL9",-0.401242432877324,-0.257339094155639,-0.132128317734169,-5.87334276875433,0.005,0.503,0.001,0.001
"87","GIL90",-0.131979388288454,-0.336061727596868,-0.133305009906012,1.72140744913463,0.363,0.547,0.169,0.051
