"full_prop","full_raw","cold_prop","cold_raw","sig_cold","dry_prop","dry_raw","dry_sig","full"
0.128905065210798,425,0.265350877192982,121,1,0.0813397129186603,17,1,0.128905065210798
0.118289353958144,390,0.0175438596491228,8,1,0.0861244019138756,18,1,0.118289353958144
0.0982711555959964,324,0.0394736842105263,18,1,0.0861244019138756,18,0,0.0982711555959964
0.117379435850773,387,0.0679824561403509,31,1,0.110047846889952,23,0,0.117379435850773
0.00849256900212314,28,0.0131578947368421,6,1,0.0430622009569378,9,1,0.00849256900212314
0.0457992114043069,151,0.0175438596491228,8,1,0.0717703349282297,15,1,0.0457992114043069
0.0427661510464058,141,0.0241228070175439,11,1,0.0334928229665072,7,1,0.0427661510464058
0.0072793448589627,24,0,0,1,0.00956937799043062,2,0,0.0072793448589627
0.00303306035790112,10,0.0043859649122807,2,0,0.00478468899521531,1,0,0.00303306035790112
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0.0043859649122807,2,1,0,0,1,0.00121322414316045
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.0100090991810737,33,0.00219298245614035,1,1,0.0334928229665072,7,1,0.0100090991810737
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.0221413406126782,73,0,0,1,0.0191387559808612,4,0,0.0221413406126782
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0.0043859649122807,2,1,0,0,1,0.00121322414316045
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0.00219298245614035,1,0,0,0,1,0.00121322414316045
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.00454959053685168,15,0.00657894736842105,3,0,0.0287081339712919,6,1,0.00454959053685168
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.0048528965726418,16,0.0043859649122807,2,0,0.00956937799043062,2,1,0.0048528965726418
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0.00219298245614035,1,0,0,0,1,0.00121322414316045
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.0043859649122807,2,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.00151653017895056,5,0.00219298245614035,1,0,0,0,1,0.00151653017895056
0.000909918107370337,3,0,0,1,0.00956937799043062,2,1,0.000909918107370337
0.00212314225053079,7,0,0,1,0,0,1,0.00212314225053079
0.000909918107370337,3,0,0,1,0.00478468899521531,1,1,0.000909918107370337
0.00272975432211101,9,0.0087719298245614,4,1,0,0,1,0.00272975432211101
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00303306035790112,10,0,0,1,0.0239234449760766,5,1,0.00303306035790112
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.0043859649122807,2,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0.0043859649122807,2,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.00121322414316045,4,0,0,1,0,0,1,0.00121322414316045
0.00181983621474067,6,0.00219298245614035,1,0,0.00478468899521531,1,1,0.00181983621474067
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00181983621474067,6,0,0,1,0.00478468899521531,1,1,0.00181983621474067
0.000909918107370337,3,0,0,1,0.00478468899521531,1,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0,0,1,0.00956937799043062,2,1,0.00121322414316045
0.000909918107370337,3,0.00219298245614035,1,0,0,0,1,0.000909918107370337
0.000606612071580224,2,0.0043859649122807,2,1,0.00956937799043062,2,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0.00956937799043062,2,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.00151653017895056,5,0,0,1,0,0,1,0.00151653017895056
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00272975432211101,9,0,0,1,0,0,1,0.00272975432211101
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0.00478468899521531,1,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0.00478468899521531,1,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00515620260843191,17,0,0,1,0.00478468899521531,1,0,0.00515620260843191
0.000606612071580224,2,0,0,1,0.00956937799043062,2,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000909918107370337,3,0,0,1,0.00478468899521531,1,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000909918107370337,3,0.00219298245614035,1,0,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00956937799043062,2,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0,0,1,0.00478468899521531,1,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.00151653017895056,5,0.0109649122807018,5,1,0,0,1,0.00151653017895056
0.000606612071580224,2,0.0043859649122807,2,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000909918107370337,3,0.00219298245614035,1,0,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00121322414316045,4,0.00657894736842105,3,1,0,0,1,0.00121322414316045
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.00121322414316045,4,0.00657894736842105,3,1,0,0,1,0.00121322414316045
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0.0043859649122807,2,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0.00219298245614035,1,0,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0.00478468899521531,1,1,0.000606612071580224
0.0172884440400364,57,0,0,1,0,0,1,0.0172884440400364
0.000909918107370337,3,0,0,1,0,0,1,0.000909918107370337
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.000606612071580224,2,0,0,1,0,0,1,0.000606612071580224
0.00212314225053079,7,0,0,1,0,0,1,0.00212314225053079
0.0163785259326661,54,0.00219298245614035,1,1,0.00956937799043062,2,1,0.0163785259326661
0.183500151653018,605,0.324561403508772,148,1,0.0478468899521531,10,1,0.183500151653018
0.0227479526842584,75,0.0394736842105263,18,1,0.076555023923445,16,1,0.0227479526842584
0.0130421595389748,43,0.0219298245614035,10,1,0.0143540669856459,3,0,0.0130421595389748
0.00576281468001213,19,0.00219298245614035,1,1,0.0143540669856459,3,1,0.00576281468001213
0.0106157112526539,35,0.0153508771929825,7,0,0.00478468899521531,1,1,0.0106157112526539
0.00272975432211101,9,0.0131578947368421,6,1,0.00478468899521531,1,0,0.00272975432211101
0.00151653017895056,5,0,0,1,0,0,1,0.00151653017895056
0.00121322414316045,4,0,0,1,0,0,1,0.00121322414316045
